altitude,ch4_moleratio,ch4_pressure,ch4_qc,ch4_rssi,ch4_temp,computer_time,estimated_heading,frame,gps_fix,heading,heading_available,hpr_type,latitude,log_time,longitude,pitch,rmys_wdir_cf,rmys_wspd2D_cf,roll,spd_over_grnd,true_track,true_wdir,true_wspd,wdir_cf_corrected,wspd_cf_corrected,system_id
802.1,1.97472,92.8767,1,54.5687,17.7487,2018-07-04T11:24:38Z,167.5,46384,1,167.5,1,N,51.484145675,4358.439402,-113.075640588333,-7.43,168.3,14.99,2.5,17.4361111111111,168.13,10.7992349605026,4.13374575615272,-6.04097862738809,13.7145700620277,pomelo_1
801,1.97418,92.8925,1,54.7621,17.7116,2018-07-04T11:24:39Z,165.7,46394,1,165.7,1,N,51.48400667,4359.377003,-113.07559204,-7.33,174.5,15.24,2.1,17.6083333333333,167.09,352.709946768525,3.5687189782996,-0.0342066417367164,14.0611116580161,pomelo_1
799.6,1.97071,92.9054,1,54.8322,17.9295,2018-07-04T11:24:40Z,163.1,46404,1,163.1,1,N,51.4838530416667,4360.328633,-113.075528901667,-7.63,167,15.12,2.8,17.5722222222222,164.52,11.533057039035,4.4745357428883,-7.08778455435254,13.7370099075243,pomelo_1
798.5,1.97301,92.9113,1,54.6511,17.8725,2018-07-04T11:24:41Z,160.75,46414,1,160.75,1,N,51.4837172766667,4361.266233,-113.07546174,-7.75,165.3,15.4,2.8,17.4833333333333,161.73,12.578886425054,4.43324400195259,-8.45668461269071,13.8649213608718,pomelo_1
797.2,1.97488,92.9231,1,54.4719,17.8729,2018-07-04T11:24:42Z,158.66,46424,1,158.66,1,N,51.4835700916667,4362.203834,-113.075378205,-7.83,167.8,14.98,3,17.2916666666667,159.85,5.71966602261263,4.1613185617319,-6.44359629160516,13.6684910211618,pomelo_1
795.9,1.96863,92.9377,1,54.5488,17.6636,2018-07-04T11:24:43Z,156.9,46434,1,156.9,1,N,51.483439285,4363.141437,-113.075295056667,-8.1,166.5,14.38,2.3,17.5277777777778,157.53,359.214206938885,4.98117996600655,-7.49040221856967,13.0297374122673,pomelo_1
794.6,1.9754,92.9577,1,54.6264,17.7627,2018-07-04T11:24:44Z,155.3,46444,1,155.3,1,N,51.4833085766667,4364.080071,-113.075205001667,-8.06,167,14.72,2.4,17.5916666666667,156.06,358.863254913055,4.71157395993458,-7.08778455435254,13.3735969470078,pomelo_1
793.2,1.96828,92.9542,1,54.8149,17.9176,2018-07-04T11:24:45Z,153.75,46454,1,153.75,1,N,51.4831645733333,4365.017976,-113.075097405,-8.01,170.6,16.12,1.4,17.65,153.91,356.031422959884,2.98787877180641,-4.16357954825537,14.92453763727,pomelo_1
791.8,1.97901,92.9782,1,54.7812,17.7475,2018-07-04T11:24:46Z,151.74,46464,1,151.74,1,N,51.4830373583333,4365.95554,-113.074993455,-8.31,167.6,15.3,3,17.5694444444444,151.65,354.724343841244,4.03702098004184,-6.60464335729199,13.9454441485948,pomelo_1
790.4,1.98422,93.0105,1,54.8231,17.5761,2018-07-04T11:24:47Z,148.94,46474,1,148.94,1,N,51.482914035,4366.893139,-113.074882463333,-8.37,168.7,14.64,2.6,17.3055555555556,149.56,350.058511809197,4.23223846369894,-5.71888449601437,13.4233640304229,pomelo_1
788.9,1.9733,93.0176,1,54.818,17.7472,2018-07-04T11:24:48Z,146.65,46484,1,146.65,1,N,51.482782095,4367.830741,-113.074750625,-8.16,163.7,15.32,4,17.2444444444444,146.71,358.433097032234,4.4294452968086,-9.74506113818546,13.676536859279,pomelo_1
787.4,1.96962,93.0317,1,54.8416,17.8983,2018-07-04T11:24:49Z,144.66,46494,1,144.66,1,N,51.482667065,4368.765437,-113.074625431667,-8.28,168.9,14.53,2.8,17.2222222222222,144.57,342.421709444375,4.1455525772183,-5.55783743032754,13.3369502945905,pomelo_1
785.8,1.97321,93.0546,1,54.7202,17.6306,2018-07-04T11:24:50Z,141.87,46504,1,141.87,1,N,51.4825426366667,4369.703037,-113.07447749,-8.14,166.8,14.35,2.9,17.2722222222222,142.2,343.691148018907,4.68849929864163,-7.24883162003937,13.0234632845519,pomelo_1
784.3,1.96274,93.0505,1,54.8066,17.9137,2018-07-04T11:24:51Z,140.27,46514,1,140.27,1,N,51.48243343,4370.640639,-113.074335688333,-8.21,170.3,16.06,0.7,17.4444444444444,140.31,344.025982657646,2.87867869885227,-4.43050797051961,14.8540610975904,pomelo_1
