altitude,ch4_moleratio,ch4_pressure,ch4_qc,ch4_rssi,ch4_temp,computer_time,estimated_heading,frame,gps_fix,heading,heading_available,hpr_type,latitude,log_time,longitude,pitch,rmys_wdir_cf,rmys_wspd2D_cf,roll,spd_over_grnd,true_track,true_wdir,true_wspd,wdir_cf_corrected,wspd_cf_corrected,system_id
772.6,1.97153,93.1737,1,54.6119,18.4598,2018-07-04T11:28:21Z,321.76,48754,1,321.76,1,N,51.48407357,4581.227832,-113.0487794,4.37,170.8,17.44,2.6,13.78888889,321.83,295.7680899,2.577183745,-3.951816835,16.1437796,pomelo_1
771.3,1.97506,93.1949,1,54.662,18.2715,2018-07-04T11:28:20Z,323.48,48744,1,323.48,1,N,51.48397622,4580.259461,-113.0486583,4.24,176.7,17.49,6.3,13.62222222,323.04,340.3559987,2.582173211,2.295183203,16.10571374,pomelo_1
770.2,1.98237,93.2031,1,54.4337,18.1297,2018-07-04T11:28:19Z,325.85,48734,1,325.85,1,N,51.48388657,4579.32189,-113.048556,4.16,175.5,17.69,6.2,13.53611111,325.8,332.1044876,2.785027896,1.024606924,16.30716422,pomelo_1
768.9,1.97506,93.2054,1,54.4483,18.4295,2018-07-04T11:28:18Z,328.67,48724,1,328.67,1,N,51.48378429,4578.384259,-113.048452,4.08,172.1,18.73,6.6,13.41388889,329.34,315.1461486,3.998316137,-2.5753592,17.31791656,pomelo_1
766.4,1.97631,93.2266,1,54.6142,18.4494,2018-07-04T11:28:17Z,337.66,48704,1,337.66,1,N,51.48358056,4576.493566,-113.0482897,4.43,169.2,17.97,6.6,13.27777778,337.96,310.8940476,3.553438409,-5.316266832,16.52136376,pomelo_1
767.8,1.9813,93.2054,1,54.6606,18.3398,2018-07-04T11:28:17Z,333.12,48714,1,333.12,1,N,51.48368957,4577.446659,-113.0483683,4.35,174.5,19.17,7.8,13.16388889,333.38,332.2296662,4.52389666,-0.034206642,17.68710699,pomelo_1
765.2,1.98646,93.243,1,54.4331,18.4111,2018-07-04T11:28:16Z,342.4,48694,1,342.4,1,N,51.48347964,4575.562055,-113.0482319,4.39,172.8,17.96,6.8,13.25833333,342.93,331.2897334,3.392989724,-1.834189704,16.5956679,pomelo_1
764,1.97796,93.2665,1,54.3647,18.4605,2018-07-04T11:28:15Z,346.44,48684,1,346.44,1,N,51.48337679,4574.624453,-113.0481868,4.02,167.4,17.56,6.5,13.03888889,347,311.1239857,3.478707295,-6.765690423,15.98814566,pomelo_1
762.8,1.97991,93.2647,1,54.5424,18.468,2018-07-04T11:28:14Z,350.35,48674,1,350.35,1,N,51.48325892,4573.686853,-113.0481505,3.75,172,17.78,6.7,13.62777778,351.48,329.9979762,2.984160478,-2.681240556,16.44099625,pomelo_1
761.7,1.97865,93.2653,1,54.3153,18.454,2018-07-04T11:28:13Z,354.91,48664,1,354.91,1,N,51.48314825,4572.749251,-113.0481305,3.5,168.9,18.78,7,13.93055556,355.5,325.5833739,3.701510613,-5.55783743,17.23798531,pomelo_1
760.7,1.97897,93.2959,1,54.4431,18.3648,2018-07-04T11:28:12Z,358.65,48654,1,358.65,1,N,51.48303414,4571.806945,-113.0481223,3.15,174,17.5,7.7,14.26111111,0.2,342.6287064,1.973409942,-0.563613425,16.15343562,pomelo_1
759.7,1.97908,93.3105,1,54.4445,18.4095,2018-07-04T11:28:11Z,2.45,48644,1,2.45,1,N,51.48290479,4570.869345,-113.0481282,2.45,170.4,18.48,5,14.51666667,3.37,331.3594432,2.963298266,-4.349984438,17.1016864,pomelo_1
759,1.98404,93.3188,1,54.4213,18.1831,2018-07-04T11:28:10Z,5,48634,1,5,1,N,51.48278711,4569.931744,-113.0481439,1.69,163.9,17.12,4.7,14.69166667,5.65,283.2873329,2.742588919,-9.584014072,15.29957436,pomelo_1
758.3,1.97973,93.297,1,54.4471,18.2047,2018-07-04T11:28:09Z,6.43,48624,1,6.43,1,N,51.48265545,4568.994143,-113.0481692,1.02,167.8,20.04,4.7,14.73333333,7.37,332.7240051,4.133474652,-6.443596292,18.28548465,pomelo_1
757.9,1.97944,93.3293,1,54.4928,18.322,2018-07-04T11:28:08Z,7.75,48614,1,7.75,1,N,51.48253699,4568.062153,-113.0481958,0.64,170.6,18.32,5.3,14.69722222,8.59,334.6663778,2.650728387,-4.163579548,16.96138521,pomelo_1
757.5,1.97575,93.324,1,54.4673,18.2452,2018-07-04T11:28:07Z,8.86,48604,1,8.86,1,N,51.4824199,4567.129067,-113.0482265,0.18,167.2,18.35,5.5,14.55833333,10.46,318.6511949,3.148493798,-6.926737489,16.68948058,pomelo_1
757.3,1.98436,93.3246,1,54.5799,18.227,2018-07-04T11:28:06Z,9.6,48594,1,9.6,1,N,51.48229181,4566.191467,-113.0482652,-0.5,165.5,18.37,2.4,14.39722222,10.52,316.7892842,3.288737409,-8.295637547,16.55647814,pomelo_1
757.2,1.98308,93.3164,1,54.6263,18.2338,2018-07-04T11:28:05Z,9.99,48584,1,9.99,1,N,51.48217868,4565.253866,-113.0482998,-1.53,164.2,19.51,2.3,14.06666667,11.11,325.5162255,4.438905924,-9.342443474,17.46308972,pomelo_1
757.2,1.98204,93.3534,1,54.6496,18.0797,2018-07-04T11:28:04Z,10.09,48574,1,10.09,1,N,51.48206877,4564.316267,-113.0483339,-2.13,167,16.39,2.3,13.48055556,11.26,311.6822313,2.480211,-7.087784554,14.89084606,pomelo_1
757.5,1.98557,93.361,1,54.5567,18.1823,2018-07-04T11:28:03Z,10.64,48564,1,10.64,1,N,51.48195387,4563.373959,-113.04837,-2.94,163.2,15.34,4.9,12.39444444,11.63,302.5149586,2.823887088,-10.1476788,13.65838379,pomelo_1
758,1.9812,93.3739,1,54.5861,18.1191,2018-07-04T11:28:02Z,21.4,48544,1,21.4,1,N,51.48177483,4561.498722,-113.0484452,-3.48,160.9,13.72,13.8,10.25277778,22.96,320.5810914,3.193914678,-11.99972006,12.06998556,pomelo_1
757.8,1.98458,93.3675,1,54.4295,18.1557,2018-07-04T11:28:02Z,13.75,48554,1,13.75,1,N,51.48185932,4562.436321,-113.0484037,-3.49,162.6,14.18,8.8,11.41388889,14.4,305.0688919,2.631380946,-10.63082,12.58583512,pomelo_1
758.3,1.97804,93.3775,1,54.543,17.9492,2018-07-04T11:28:01Z,35.5,48534,1,35.5,1,N,51.48169618,4560.56112,-113.0485124,-3.37,155.7,13.29,12.4,9.516666667,35.41,331.4308133,3.549176378,-16.1573218,11.5238356,pomelo_1
758.5,1.98299,93.388,1,54.4199,18.088,2018-07-04T11:28:00Z,49.65,48524,1,49.65,1,N,51.48164053,4559.623519,-113.0485916,-2.99,157.9,12.83,13.1,8.991666667,48.77,354.5708489,3.224794871,-14.39938081,11.18808572,pomelo_1
758.8,1.97262,93.3986,1,54.5018,17.9559,2018-07-04T11:27:59Z,64.25,48514,1,64.25,1,N,51.48159637,4558.697433,-113.0487,-2.52,161.7,10.85,11.6,9.094444444,64.35,343.2939066,1.92707941,-11.3555318,9.58498362,pomelo_1
759,1.97742,93.408,1,54.3749,17.8472,2018-07-04T11:27:58Z,76.27,48504,1,76.27,1,N,51.48157179,4557.759833,-113.0488116,-2.74,148.3,11.16,10.1,9.305555556,75.13,338.2177967,3.739331784,-23.88295631,9.602111958,pomelo_1
759.2,1.9756,93.3974,1,54.4991,17.7476,2018-07-04T11:27:57Z,83.48,48494,1,83.48,1,N,51.48155794,4556.822232,-113.0489335,-3.18,153.2,11.86,8.6,9.9,83.3,350.026167,3.158559555,-18.15498201,10.21836528,pomelo_1
759.5,1.97905,93.3886,1,54.3556,17.8561,2018-07-04T11:27:56Z,87.05,48484,1,87.05,1,N,51.48155196,4555.88463,-113.0490811,-3.34,150.8,11.87,4.2,10.68055556,87.85,339.7632956,3.809914899,-20.07273582,10.16482044,pomelo_1
759.8,1.98193,93.3739,1,54.3427,17.838,2018-07-04T11:27:55Z,88.52,48474,1,88.52,1,N,51.48154955,4554.9385,-113.0492237,-3.44,152.6,13.12,3.8,11.47777778,89.14,346.6799582,3.81172123,-18.63442046,11.28670357,pomelo_1
760.1,1.97767,93.351,1,54.384,17.9285,2018-07-04T11:27:54Z,89.28,48464,1,89.28,1,N,51.48154876,4554.000866,-113.0493769,-3.37,160.3,14.88,2.7,12.38611111,90.21,6.136508635,3.044678782,-12.48162701,13.05654993,pomelo_1
760.4,1.97874,93.3528,1,54.3932,17.855,2018-07-04T11:27:53Z,89.62,48454,1,89.62,1,N,51.48154884,4553.063263,-113.04956,-3.05,156.8,13.98,1.8,13.14166667,90.12,336.5326839,3.606886258,-15.27835131,12.15642947,pomelo_1
